Year,State,Region,Percentage
2000,Alabama,South,7.3
2000,Alaska,West,4.4
2000,Arizona,West,5.9
2000,Arkansas,South,5.9
2000,California,West,7.1
2000,Colorado,West,5.2
2000,Connecticut,Northeast,5.2
2000,Delaware,South,6.3
2000,District of Columbia,South,7.4
2000,Florida,South,6.2
2000,Georgia,South,7.1
2000,Hawaii,West,5.1
2000,Idaho,West,4.8
2000,Illinois,Midwest,6.2
2000,Indiana,Midwest,6.0
2000,Iowa,Midwest,5.6
2000,Kansas,Midwest,5.7
2000,Kentucky,South,6.3
2000,Louisiana,South,6.8
2000,Maine,Northeast,5.8
2000,Maryland,South,6.5
2000,Massachusetts,Northeast,5.7
2000,Michigan,Midwest,7.0
2000,Minnesota,Midwest,4.8
2000,Mississippi,South,7.6
2000,Missouri,Midwest,6.4
2000,Montana,West,4.5
2000,Nebraska,Midwest,4.8
2000,Nevada,West,6.8
2000,New Hampshire,Northeast,4.6
2000,New Jersey,Northeast,5.6
2000,New Mexico,West,6.6
2000,New York,Northeast,6.2
2000,North Carolina,South,6.5
2000,North Dakota,Midwest,5.0
2000,Ohio,Midwest,6.1
2000,Oklahoma,South,5.4
2000,Oregon,West,5.8
2000,Pennsylvania,Northeast,6.5
2000,Rhode Island,Northeast,5.8
2000,South Carolina,South,7.2
2000,South Dakota,Midwest,5.4
2000,Tennessee,South,7.0
2000,Texas,South,6.5
2000,Utah,West,5.7
2000,Vermont,Northeast,4.4
2000,Virginia,South,6.3
2000,Washington,West,5.5
2000,West Virginia,South,7.0
2000,Wisconsin,Midwest,5.9
2000,Wyoming,West,5.0
2001,Alabama,South,9.4
2001,Alaska,West,4.9
2001,Arizona,West,6.1
2001,Arkansas,South,7.3
2001,California,West,6.6
2001,Colorado,West,5.0
2001,Connecticut,Northeast,6.0
2001,Delaware,South,6.9
2001,District of Columbia,South,8.5
2001,Florida,South,7.2
2001,Georgia,South,7.0
2001,Hawaii,West,6.0
2001,Idaho,West,5.4
2001,Illinois,Midwest,6.5
2001,Indiana,Midwest,6.4
2001,Iowa,Midwest,5.3
2001,Kansas,Midwest,5.6
2001,Kentucky,South,6.5
2001,Louisiana,South,7.6
2001,Maine,Northeast,6.4
2001,Maryland,South,7.0
2001,Massachusetts,Northeast,5.4
2001,Michigan,Midwest,7.2
2001,Minnesota,Midwest,4.3
2001,Mississippi,South,9.2
2001,Missouri,Midwest,6.2
2001,Montana,West,5.3
2001,Nebraska,Midwest,5.0
2001,Nevada,West,5.4
2001,New Hampshire,Northeast,5.4
2001,New Jersey,Northeast,6.9
2001,New Mexico,West,6.2
2001,New York,Northeast,6.4
2001,North Carolina,South,6.6
2001,North Dakota,Midwest,5.0
2001,Ohio,Midwest,7.0
2001,Oklahoma,South,7.4
2001,Oregon,West,5.4
2001,Pennsylvania,Northeast,6.2
2001,Rhode Island,Northeast,6.2
2001,South Carolina,South,7.9
2001,South Dakota,Midwest,5.8
2001,Tennessee,South,7.6
2001,Texas,South,7.3
2001,Utah,West,4.6
2001,Vermont,Northeast,5.1
2001,Virginia,South,6.0
2001,Washington,West,5.7
2001,West Virginia,South,8.0
2001,Wisconsin,Midwest,5.4
2001,Wyoming,West,4.6
2002,Alabama,South,8.4
2002,Alaska,West,4.7
2002,Arizona,West,6.4
2002,Arkansas,South,7.5
2002,California,West,8.0
2002,Colorado,West,4.8
2002,Connecticut,Northeast,5.6
2002,Delaware,South,6.9
2002,District of Columbia,South,8.2
2002,Florida,South,6.9
2002,Georgia,South,7.5
2002,Hawaii,West,5.6
2002,Idaho,West,6.2
2002,Illinois,Midwest,6.9
2002,Indiana,Midwest,7.4
2002,Iowa,Midwest,6.2
2002,Kansas,Midwest,6.3
2002,Kentucky,South,6.9
2002,Louisiana,South,7.2
2002,Maine,Northeast,6.8
2002,Maryland,South,7.0
2002,Massachusetts,Northeast,5.7
2002,Michigan,Midwest,7.9
2002,Minnesota,Midwest,4.9
2002,Mississippi,South,8.6
2002,Missouri,Midwest,7.1
2002,Montana,West,5.3
2002,Nebraska,Midwest,5.7
2002,Nevada,West,6.3
2002,New Hampshire,Northeast,6.2
2002,New Jersey,Northeast,6.0
2002,New Mexico,West,6.1
2002,New York,Northeast,7.1
2002,North Carolina,South,7.3
2002,North Dakota,Midwest,5.9
2002,Ohio,Midwest,7.4
2002,Oklahoma,South,6.6
2002,Oregon,West,6.1
2002,Pennsylvania,Northeast,7.4
